user_id,condition,question_id_1,correct_1,tentative_1,hinted_1,question_id_2,correct_2,tentative_2,hinted_2,question_id_3,correct_3,tentative_3,hinted_3,question_id_4,correct_4,tentative_4,hinted_4,question_id_5,correct_5,tentative_5,hinted_5
1,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,TRUE,5,TRUE,1,FALSE
2,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,2,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,2,FALSE
3,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,TRUE,5,TRUE,1,FALSE
4,_2_SIDE_AGREEABLENESS,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,2,FALSE,4,FALSE,2,FALSE,5,FALSE,2,FALSE
5,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
6,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,TRUE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
7,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,TRUE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,FALSE,2,FALSE
8,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
9,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
10,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
11,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,2,FALSE,3,FALSE,1,FALSE,4,TRUE,1,TRUE,5,FALSE,1,FALSE
12,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,2,FALSE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
13,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,FALSE
14,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
15,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,TRUE
16,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,FALSE,1,FALSE
17,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,FALSE
18,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,TRUE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,FALSE,1,FALSE
19,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,TRUE,4,FALSE,2,FALSE,5,TRUE,1,FALSE
20,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,TRUE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
21,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,TRUE,1,TRUE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,FALSE,2,FALSE
22,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,FALSE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
23,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,FALSE,1,FALSE
24,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
25,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
26,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
27,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,TRUE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,FALSE
28,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
29,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,TRUE,5,FALSE,1,FALSE
30,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,2,FALSE
31,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,TRUE,1,TRUE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
32,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,FALSE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
33,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
35,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
36,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,2,FALSE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,2,FALSE
37,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,TRUE,1,FALSE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
38,_2_SIDE_AGREEABLENESS,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
39,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,TRUE,2,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,FALSE
40,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,TRUE,3,TRUE,1,TRUE,4,FALSE,1,FALSE,5,FALSE,1,TRUE
41,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
42,_2_SIDE_AGREEABLENESS,1,FALSE,1,FALSE,2,FALSE,1,TRUE,3,TRUE,1,FALSE,4,FALSE,1,TRUE,5,TRUE,1,FALSE
43,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,TRUE,1,TRUE,5,TRUE,2,FALSE
44,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
45,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,TRUE,2,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,FALSE
46,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,TRUE,5,FALSE,1,FALSE
47,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,TRUE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
48,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,FALSE,1,FALSE
49,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,FALSE,1,FALSE
50,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,FALSE,1,FALSE
51,_2_SIDE_AGREEABLENESS,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,FALSE
52,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,TRUE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,FALSE
53,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,2,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,2,FALSE
54,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,TRUE,1,FALSE,5,TRUE,1,FALSE
55,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
56,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,FALSE,1,FALSE
57,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,FALSE
58,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,TRUE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,1,FALSE,5,TRUE,1,FALSE
59,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,TRUE,1,FALSE,4,FALSE,2,FALSE,5,FALSE,1,FALSE
60,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,TRUE,3,TRUE,1,TRUE,4,TRUE,1,FALSE,5,FALSE,1,TRUE
61,_1_SIDE_ANTAGONIST,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,TRUE,1,FALSE,5,FALSE,1,FALSE
62,_2_SIDE_AGREEABLENESS,1,TRUE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,2,FALSE,4,TRUE,1,FALSE,5,TRUE,2,FALSE
63,_1_SIDE_ANTAGONIST,1,FALSE,1,FALSE,2,FALSE,1,FALSE,3,FALSE,1,FALSE,4,FALSE,2,FALSE,5,FALSE,2,FALSE