"Informazioni cronologiche","Condizione","Utente ID","Genere","Quanti anni hai? ","Che tipo di esperienza hai con i robot?","1/4 Impressione sull'interazione [L'interazione con questo robot e' chiara e comprensibile]","1/4 Impressione sull'interazione [L'interazione con questo robot non richiede un grosso sforzo mentale]","1/4 Impressione sull'interazione [Ho trovato facile interagire con questo robot]","1/4 Impressione sull'interazione [Credo che non ci siano problemi ad utilizzare questo robot]","2/4 Impressione sull'interazione [Trovo che questo robot sia divertente]","2/4 Impressione sull'interazione [Trovo che questo robot sia piacevole]","2/4 Impressione sull'interazione [Trovo che questo robot sia spassoso]","2/4 Impressione sull'interazione [Trovo che questo robot sia emozionante]","3/4 Impressione sull'interazione
"2022/11/26 4:43:42 PM EET","C2","28","Maschile","35-44","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5","5","5","5","5","3","3","4","2","3","2","1 (Totalmente in disaccordo)","4","4","4","4","4","1 (Totalmente in disaccordo)","4","4","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","3","3","4","4","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
"2022/11/26 4:57:37 PM EET","C1","29","Maschile","35-44","Conosco i robot grazie a film/libri/serie tv","6","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","6","6","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5","6","6","6","6","5","5","4","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","4","3","4","4","1 (Totalmente in disaccordo)","4","4","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","3","3","4","2","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)",""
"2022/11/26 5:03:35 PM EET","C2","30","Femminile","18-24","Conosco i robot grazie a film/libri/serie tv","5","4","4","4","3","3","3","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","3","3","3","3","3","3","3","4","4","4","4","2","4","2","3","2","2","2","3","3","3","1 (Totalmente in disaccordo)","3","3","3","3","3","3","-"
"2022/11/26 5:13:55 PM EET","C1","31","Femminile","18-24","Nessuna","5","5","5","5","4","5","4","5","3","3","3","3","3","3","3","4","4","3","3","4","3","3","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","2","4","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","4","4","1 (Totalmente in disaccordo)","3","4","4","3","4","3",""
"2022/11/26 5:25:05 PM EET","C2","32","Maschile","45-54","Conosco i robot grazie a film/libri/serie tv","6","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","3","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","5","4","4","1 (Totalmente in disaccordo)","4","3","3","3","4","2","4","5 (Totalmente d'accordo)","3","4","3","4","2","3","4","3","3","4","1 (Totalmente in disaccordo)",""
"2022/11/26 5:35:05 PM EET","C1","33","Femminile","25-34","Conosco i robot grazie a film/libri/serie tv","6","6","6","6","5","6","5","6","2","1 (Totalmente in disaccordo)","2","1 (Totalmente in disaccordo)","5","5","6","5","6","5","5","3","3","4","3","2","4","4","2","3","4","2","4","4","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","4","4","3","4","3",""
"2022/11/27 11:34:05 AM EET","C1","35","Maschile","45-54","Nessuna","5","6","6","6","6","6","6","6","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","6","6","6","6","6","6","6","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","5 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)","2","4","2","2","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)",""
"2022/11/27 11:42:04 AM EET","C2","36","Femminile","25-34","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","6","5","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","3","5 (Totalmente d'accordo)","3","3","3","4","è carino il suo modo di motivare."
"2022/11/27 11:54:11 AM EET","C1","37","Maschile","25-34","Nessuna","7 (Totalmente d'accordo)","4","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5","5","7 (Totalmente d'accordo)","5","7 (Totalmente d'accordo)","4","5","3","1 (Totalmente in disaccordo)","3","1 (Totalmente in disaccordo)","2","2","4","2","3","4","4","2","5 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","3","2","3","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)",""
"2022/11/27 12:01:23 PM EET","C2","38","Femminile","25-34","Nessuna","5","6","6","6","4","6","3","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","7 (Totalmente d'accordo)","6","4","4","2","2","2","1 (Totalmente in disaccordo)","4","3","2","3","5 (Totalmente d'accordo)","2","4","4","4","1 (Totalmente in disaccordo)","3","3","3","4","2","1 (Totalmente in disaccordo)",""
"2022/11/27 12:07:33 PM EET","C1","39","Femminile","18-24","Conosco i robot grazie a film/libri/serie tv","6","4","6","5","5","6","6","5","2","1 (Totalmente in disaccordo)","2","1 (Totalmente in disaccordo)","6","6","6","6","5","4","4","4","2","4","2","1 (Totalmente in disaccordo)","4","4","1 (Totalmente in disaccordo)","4","4","1 (Totalmente in disaccordo)","4","4","4","2","2","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","3","2",""
"2022/11/27 12:30:15 PM EET","C2","40","Femminile","55-64","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","6","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","2","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","3","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","simpatica"
"2022/11/27 12:40:30 PM EET","C1","41","Femminile","35-44","Nessuna","6","5","5","6","6","6","5","5","3","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5","5","4","5","5","5","5","5 (Totalmente d'accordo)","2","4","2","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","2","3","4","1 (Totalmente in disaccordo)","4","4","5 (Totalmente d'accordo)","2","2","2","3","3","1 (Totalmente in disaccordo)","2",""
"2022/11/27 12:43:08 PM EET","C2","42","Femminile","18-24","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","2","4","4","4","4","4","4","4","4","4","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
"2022/11/27 12:51:30 PM EET","C1","43","Maschile","18-24","Ho un robot a casa (per esempio, robot aspirapolvere)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","6","5","7 (Totalmente d'accordo)","4","2","2","2","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","4","2","3","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","bellissima esperienza , anche se il robot si innervosisce troppo per gli errori "
"2022/11/27 12:57:12 PM EET","C2","44","Femminile","35-44","Nessuna","6","6","6","6","6","6","5","5","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","6","6","4","4","3","3","3","3","1 (Totalmente in disaccordo)","2","3","3","3","4","3","4","4","4","4","3","3","3","3","3","4","4","3","1 (Totalmente in disaccordo)",""
"2022/11/27 1:09:21 PM EET","C1","45","Femminile","25-34","Nessuna","6","6","5","7 (Totalmente d'accordo)","6","6","6","5","3","4","2","4","6","6","3","6","6","6","6","4","4","4","4","4","4","4","4","4","4","4","4","5 (Totalmente d'accordo)","2","4","2","2","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","2","e stato un robt utile "
"2022/11/27 1:20:47 PM EET","C2","46","Maschile","65+","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","5","5","4","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","5","4","4","1 (Totalmente in disaccordo)","4","4","2","4","4","1 (Totalmente in disaccordo)","4","4","1 (Totalmente in disaccordo)","4","4","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)",""
"2022/11/27 1:26:30 PM EET","C1","47","Femminile","25-34","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","6","6","5","7 (Totalmente d'accordo)","5","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","4","3","1 (Totalmente in disaccordo)","4","3","3","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","4","1 (Totalmente in disaccordo)","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
"2022/11/27 1:30:58 PM EET","C2","48","Maschile","18-24","Ho gia' interagito fisicamente con robot in fiere o eventi","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","3","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","4","4","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","3","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)",""
"2022/11/27 1:34:41 PM EET","C1","49","Maschile","35-44","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","7 (Totalmente d'accordo)","5","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","3","3","1 (Totalmente in disaccordo)","3","4","2","3","4","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","5 (Totalmente d'accordo)","3","3","4","1 (Totalmente in disaccordo)",""
"2022/11/27 2:00:28 PM EET","C1","50","Maschile","25-34","Conosco i robot grazie a film/libri/serie tv","6","6","7 (Totalmente d'accordo)","5","6","5","6","5","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","2","1 (Totalmente in disaccordo)","4","5","4","5","6","4","5","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","2","3","3","4","1 (Totalmente in disaccordo)","4","4","3","1 (Totalmente in disaccordo)","2","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
"2022/11/27 2:10:04 PM EET","C2","51","Maschile","45-54","Ho gia' interagito fisicamente con robot in fiere o eventi","4","6","6","4","5","5","5","5","2","2","2","1 (Totalmente in disaccordo)","5","5","5","5","5","5","5","3","3","3","3","2","4","4","2","3","4","3","3","3","4","2","2","4","3","3","3","2",""
"2022/11/27 2:31:44 PM EET","C1","52","non definire","25-34","Ho gia' interagito fisicamente con robot in fiere o eventi","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","4","3","5","3","2","5","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","3","5","5","3","3","1 (Totalmente in disaccordo)","2","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","2","3","3","2","3","2","2","4","3","2","1 (Totalmente in disaccordo)","3","3","3","3","2","1 (Totalmente in disaccordo)",""
"2022/11/27 2:37:56 PM EET","C1","53","Maschile","25-34","Nessuna","4","6","2","2","2","6","4","4","4","1 (Totalmente in disaccordo)","3","3","2","6","4","4","4","4","4","3","3","2","4","3","4","3","4","3","2","2","4","3","4","2","2","4","3","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
"2022/11/27 2:45:21 PM EET","C2","54","Femminile","18-24","Ho gia' interagito fisicamente con robot in fiere o eventi","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)","è un' esperienza raccomandata "
"2022/11/27 2:51:50 PM EET","C1","55","Maschile","18-24","Conosco i robot grazie a film/libri/serie tv","6","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","4","5","3","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","6","3","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","4","4","2","5 (Totalmente d'accordo)","3","2","1 (Totalmente in disaccordo)","4","2","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","2","1 (Totalmente in disaccordo)",""
"2022/11/27 3:15:50 PM EET","C2","56","Femminile","35-44","Nessuna","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","2","4","4","4","1 (Totalmente in disaccordo)","4","3","4","3","4","3","4","3","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","3","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","3","4","1 (Totalmente in disaccordo)",""
"2022/11/27 3:24:51 PM EET","C1","57","Femminile","25-34","Conosco i robot grazie a film/libri/serie tv","6","6","6","5","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","6","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5","5","5","4","4","5","4","4","3","1 (Totalmente in disaccordo)","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","4","4","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
"2022/11/27 3:30:05 PM EET","C2","58","Maschile","18-24","Conosco i robot grazie a film/libri/serie tv","5","7 (Totalmente d'accordo)","5","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","6","6","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5","6","3","6","5","4","4","4","1 (Totalmente in disaccordo)","3","2","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","3","5 (Totalmente d'accordo)","4","2","3","3","4","3","3","1 (Totalmente in disaccordo)",""
"2022/11/27 4:40:12 PM EET","C1","59","Maschile","45-54","Ho gia' interagito fisicamente con robot in fiere o eventi","5","5","6","4","4","4","4","4","4","3","5 (Totalmente d'accordo)","4","3","3","2","2","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","2","2","2","5 (Totalmente d'accordo)","3","3","3","3","3","3","4","4","3","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","3","4","4","3","5 (Totalmente d'accordo)",""
"2022/11/27 4:46:49 PM EET","C2","60","Maschile","18-24","Ho un robot a casa (per esempio, robot aspirapolvere)","7 (Totalmente d'accordo)","3","6","4","5","4","4","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","3","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","2","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","2","4","5 (Totalmente d'accordo)","4","4","2","2","4","4","4","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","3","1 (Totalmente in disaccordo)","3",""
"2022/11/27 4:55:23 PM EET","C1","61","Maschile","25-34","Ho un robot a casa (per esempio, robot aspirapolvere)","6","2","5","5","2","2","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","2","2","5","2","2","2","3","3","4","4","1 (Totalmente in disaccordo)","4","3","4","3","4","4","4","2","2","1 (Totalmente in disaccordo)","4","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4",""
"2022/11/27 5:09:39 PM EET","C2","62","Maschile","55-64","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","5","4","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","4","4","4","3","3","3","2","4","4","2","4","4","2","4","4","4","1 (Totalmente in disaccordo)","3","4","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)",""
"2022/11/28 8:04:15 PM EET","C1","63","Femminile","25-34","Ho gia' interagito fisicamente con robot in fiere o eventi","7 (Totalmente d'accordo)","2","5","6","5","2","6","6","5 (Totalmente d'accordo)","2","4","4","1 (Totalmente in disaccordo)","2","6","2","1 (Totalmente in disaccordo)","4","5","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","2","4","4","5 (Totalmente d'accordo)","4","4","5 (Totalmente d'accordo)","2","3","4","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)",""
"2023/01/16 6:07:50 PM EET","C2","64","Maschile","25-34","Interagisco spesso con i robot per lavoro","6","6","6","4","5","6","4","5","3","2","2","2","5","6","5","","6","6","6","4","3","2","4","4","3","3","4","3","2","4","2","3","4","3","4","3","4","4","4","4",""
"2023/01/16 6:23:36 PM EET","C2","65","Maschile","25-34","Ho gia' interagito fisicamente con robot in fiere o eventi","6","7","7","1","5","7","5","4","1","1","1","1","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","6","4","2","1 (Totalmente in disaccordo)","2","1 (Totalmente in disaccordo)","3","3","1 (Totalmente in disaccordo)","3","4","1 (Totalmente in disaccordo)","3","3","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","1 (Totalmente in disaccordo)","4","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
"2023/01/16 6:33:05 PM EET","C2","66","Maschile","18-24","Nessuna","6","4","6","6","6","6","6","5","1","1","1","1","6","6","6","6","4","5","5","3","3","3","4","1 (Totalmente in disaccordo)","4","2","3","3","3","2","3","2","3","2","4","4","3","3","3","4",""
"2023/01/23 1:59:07 PM EET","C2","67","Femminile","25-34","Interagisco spesso con i robot per lavoro","6","1","7","7","5","4","4","3","1","1","1","1","7 (Totalmente d'accordo)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","4","6","2","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","4","2","3","3","3","2","1 (Totalmente in disaccordo)","4","2","4","1 (Totalmente in disaccordo)","4","2","2","2","4","3",""